#    object_id           flux              mu            shear.g1         shear.g2       image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
              43   4.87069664e+01   1.03070095e+00   8.61821779e-03  -1.17512022e-02   4.25203509e+03   4.44860507e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              45   4.87069664e+01   9.73169697e-01   9.76443137e-03   1.19191651e-02   4.38810140e+03   3.28617251e+01   7.00000000e+14   4.00000000e+00   2.50000000e-01
              46   4.87069664e+01   1.05101518e+00   1.30128624e-02   2.10957985e-02   4.80206846e+03   1.12019565e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              47   4.87069664e+01   1.00316851e+00  -1.08525268e-03  -4.78993026e-03   3.37940425e+03   1.06230848e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              48   4.87069664e+01   1.04741691e+00   2.56541221e-02   1.17354325e-02   5.37906196e+03   3.11286168e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              49   4.87069664e+01   1.07115366e+00   9.43272647e-03   2.59705884e-02   4.84026703e+03   1.27271632e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              51   4.87069664e+01   9.86969795e-01  -1.44194307e-02  -4.29757652e-03   1.58209815e+03   4.07500806e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              52   4.87069664e+01   1.00091893e+00   1.10300578e-02   7.48387939e-03   3.44190128e+03   3.60976535e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              53   4.87069664e+01   1.04363047e+00  -5.66633970e-03  -1.74304780e-02   2.65521074e+03   1.88332039e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              55   4.87069664e+01   1.02501411e+00  -4.67739020e-03   3.70329794e-03   2.88031954e+03   1.07093205e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              56   4.87069664e+01   1.01201516e+00  -1.30034514e-02  -2.04398886e-04   7.03613438e+02   3.40338696e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              57   4.87069664e+01   9.83333321e-01   8.62181818e-03   5.28226056e-03   5.89191942e+03   2.13289915e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              58   4.87069664e+01   1.01419014e+00   1.23797997e-02  -7.03515241e-03   3.84946869e+03   1.00439550e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
