#    object_id           flux              mu            shear.g1         shear.g2       image_pos.x      image_pos.y       halo_mass        halo_conc      halo_redshift   
              70   4.87069664e+01   9.81666280e-01  -1.43721059e-03  -1.35550360e-03   8.40450008e+02   2.66883837e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              71   4.87069664e+01   1.02415211e+00   2.53515164e-02   4.43922406e-03   5.32925977e+03  -4.83089436e+00   7.00000000e+14   4.00000000e+00   2.50000000e-01
              72   4.87069664e+01   1.02696133e+00  -1.16073752e-02   7.06989789e-04   6.42169117e+02   4.27275731e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              73   4.87069664e+01   9.74697716e-01   9.02118558e-03   8.24916014e-04   5.02551836e+03   3.92179713e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              75   4.87069664e+01   9.54208845e-01   6.56268544e-03  -1.05347407e-02   2.47109742e+03   4.83837595e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              77   4.87069664e+01   1.04969722e+00  -1.87041633e-02  -5.77636799e-03   6.36262751e+03   3.73991408e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              78   4.87069664e+01   9.97740491e-01  -2.99122803e-02  -4.49848199e-03   9.13009022e+02   1.21065533e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              79   4.87069664e+01   1.02443981e+00   3.15017193e-03  -3.76293713e-03   4.91381390e+03   3.17621083e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              81   4.87069664e+01   1.03233374e+00  -1.78070235e-03   9.55598512e-03   2.43354859e+03   3.70977424e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              82   4.87069664e+01   1.00285450e+00  -9.66033731e-03  -3.56417709e-03   6.12346230e+03   2.26022614e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              83   4.87069664e+01   1.01747803e+00  -1.70426865e-02   2.61462709e-03   2.30070256e+03   3.45220444e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              84   4.87069664e+01   9.99324325e-01   1.47797438e-02   7.99823486e-03   3.53489943e+03   3.63519078e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              85   4.87069664e+01   9.80328951e-01  -4.59974595e-03  -5.76992883e-03   6.02801574e+01   2.81809597e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
              86   4.87069664e+01   1.00264961e+00   8.24521505e-03  -1.02920782e-02   2.07623168e+03   9.46190826e+02   7.00000000e+14   4.00000000e+00   2.50000000e-01
              87   4.87069664e+01   1.05325782e+00   9.45591182e-03   8.48637431e-03   4.30839655e+03   2.92403126e+03   7.00000000e+14   4.00000000e+00   2.50000000e-01
